meanR,meanG,meanB,stdR,stdG,stdB,meanGray,stdGray,entropy,aboveR,belowR,aboveG,belowG,aboveB,belowB,FFT_avg,FFT_med,FFT_std,FFT_max,FFT_min,DCT,H_avg,H_med,H_std,H_max,H_min,label
85.614625,72.79781875,34.71951875,60.40139506,50.41003706,30.45034822,0.02221875,0.147394752,0.153723224,49152,110848,52597,107403,55162,18220,79,281.1260465,18732.71291,3626160,-5.893486872,16188.21429,2.267256903,1.902696078,0.643714544,6.924019608,0.218137255,2
92.56375,73.42576875,62.1336375,57.52063556,50.68329207,48.23870512,0.06755,0.250972889,0.35671349,72740,87260,74646,85354,64168,53638,72,717.9096052,19368.43374,3906271,2.395489303,17438.70982,2.442396334,2.357598039,0.213205732,6.916176471,0.10245098,2
78.71675,57.68081875,34.66885625,67.09844779,40.76304135,45.75166494,0.0289625,0.167701668,0.189161861,52593,107407,74757,85243,40837,36600,69,625.8612076,15594.37997,3077872,5.444344216,13740.5,1.924439776,1.622181373,0.4231756,6.915686275,0.116176471,2
125.0313938,122.6571875,95.6433875,48.70574989,37.01191401,42.62607208,0.06969375,0.254630981,0.364779745,66955,93045,74006,85994,69801,52623,131,659.2518952,27448.50708,6035195,5.654942021,26942.83482,3.773506278,3.603553922,0.266397344,7.676960784,1.568627451,2
105.3245875,92.23384375,71.6333125,54.5939986,48.98269969,50.05783556,0.06701875,0.25005525,0.354698406,83126,76874,86640,73360,76079,46140,118,214.7162237,22521.04987,4706224,-7.000000715,21009.92857,2.942567027,3.243627451,0.257144598,5.920588235,0.321568627,2
152.4831625,83.1310375,42.73181875,92.57787429,27.12853095,17.71216166,0.0104375,0.101629834,0.08367973,77892,82108,73648,86352,62650,11889,67,284.4339499,23592.23912,4980432,-1.954291323,22234.07143,3.114015606,3.617156863,0.307016993,5.266666667,1.199509804,2
130.2184313,107.2482563,89.42241875,67.54259494,56.12482795,60.1862674,0.0445125,0.206231431,0.262612373,88523,71477,79405,80595,75182,49435,97,-512.7399695,27367.2333,5623882,2.51703227,25106.61607,3.516332783,3.507352941,0.264182257,7.145098039,0.11127451,2
155.8674063,109.7332688,57.5160375,67.5404959,81.73233356,74.82580361,0.01638125,0.126937013,0.120608987,87854,72146,70450,89550,55496,15276,249,-522.8959089,29935.26749,5898819,0.096893993,26334.01339,3.68823717,3.073039216,0.518020578,7.920098039,0.265686275,2
102.4459188,93.3023125,62.53725,57.54083664,56.24629526,43.67875541,0.0402875,0.196633311,0.243608817,75954,84046,84776,75224,66119,39551,93,-584.0280308,22583.60756,4642211,-3.4004528,20724.15625,2.902542892,2.841911765,0.242725795,6.792647059,0.555882353,2
96.0016,82.81938125,72.1602875,60.3338892,47.80502723,48.60364901,0.0275375,0.163643984,0.181888069,73062,86938,90646,69354,77396,50066,83,255.9104457,21061.66769,4291694,2.516576643,19159.34821,2.683382103,2.890808824,0.414782922,7.124019608,0.172058824,2
